seller,id,image,name,price,description,created_at
Ngoc2003,1,"Shiba Inu.png","Teddy Bear Shiba Inu",4,"Cute cotton toy Shiba Inu teddy bear","2022-09-10 06:00:00"
Ngoc2003,2,Bioderma.png,"Bioderma Sebium",13,"Bioderma Sebium H20 Cleansing Water","2022-09-10 06:00:48"
Ngoc2003,3,"Real Pearl Bracelet.png","Real Pearl Bracelet",23,"Real Pearl Bracelet Mix Charm Lucky","2022-09-10 06:01:24"
Ngoc2003,4,"Iphone 11.png","Apple Iphone 11",425,"Liquid Retina HD LCD display 6.1 inch3","2022-09-10 06:03:05"
Ngoc2003,5,"Laptop Dell XPS 9350.png","Laptop Dell XPS 9350",340,"13.3 inch FHD IPS (1920 x 1080) Screen","2022-09-10 06:03:38"
Ngoc2003,6,Seaweed.png,"Crispy seaweed OFood",1,"Mixing dried chicken, seafood, walnuts and almonds","2022-09-10 06:04:36"
Duyen0112,7,Strawberry.png,"Strawberry T- Bear",5,"Teddy Bear Fruit Strawberry Size 45cm","2022-09-10 06:07:34"
Duyen0112,8,"MAC lipstick.png","IMAGIC Lipstick",2,"IMAGIC Lipstick Moisturiser Lips Smooth","2022-09-10 06:08:20"
Duyen0112,9,"Silver bracelet.png","Silver bracelet S925",2,"Silver bracelet for women S925","2022-09-10 06:08:41"
Duyen0112,10,"Iphone 13.png","iPhone 13 Pro Max",997,"Iphone 13 Pro Max 6.7 inch Super Retina","2022-09-10 06:09:51"
Duyen0112,11,Karo.png,"Karo egg cake",2,"Fresh egg custard cake Karo Ricky","2022-09-10 06:10:59"
Duyen0112,12,Candy.png,"Alpenliebe Mango",2,"Alpenliebe Sweets Mango with Salt and Chilli","2022-09-10 06:11:25"
Hien0407,13,Cow.png,"Cow-shaped T-bear",4,"Miniso Hardworking Cow Teddy Bear","2022-09-10 06:12:55"
Hien0407,14,Makup.png,"Makeup Brush Beauty",5,"MAANGE 6pcs Makeup Brush Beauty","2022-09-10 06:13:24"
Hien0407,15,Earing.png,"Korean pearl earring",2,"Lovely pearl fishtail earrings, Korean style","2022-09-10 06:13:56"
Hien0407,16,"Laptop Asus.png","Laptop ASUS ROG 2021",841,"(R7-4800H/8GB RAM/512GB SSD/GTX 1650/Windows 11)","2022-09-10 06:14:20"
Hien0407,17,Snack.png,"Snack Cheetos",5,"Snack Cheetos Flamin Hot 226g","2022-09-10 06:15:02"
Hien0407,18,Koala.png,"Kavven Koala Bear",9,"Stuffed Animal Doll Koala","2022-09-10 06:15:42"
